CLUE,TITLE,FEN,SOLUTION
White to move.,"Charles Watson vs NN, Melbourne, 1916",rnb2b1r/p3kBp1/3pNn1p/2pQN3/1p2PP2/4B3/Pq5P/4K3 w - - 1 0,1. Qxd6+ Kxd6 2. Bxc5# 
White to move.,"Brunnemer vs Patton, corr. USA, 1920",r1b1k2r/ppQ1q2n/2p2p2/P3p2p/N3P1pP/1B4P1/1PP2P2/3R1NK1 w - - 1 0,1. Rd8+ Qxd8 2. Qf7# 
Black to move.,"Gerard Oskam vs Max Euwe, Amsterdam, 1920",r6k/pp4pp/1b1P4/8/1n4Q1/2N1RP2/PPq3p1/1RB1K3 b - - 0 1,1... Nd3+ 2. Rxd3 Bf2# 
White to move.,"Saviely Tartakower vs Richard Reti, Vienna, 1920",8/1r5p/kpQ3p1/p3rp2/P6P/8/4bPPK/1R6 w - - 1 0,1. Rxb6+ Rxb6 2. Qa8# 
White to move.,"Sery vs Z Vecsey, Brunn, 1921",r1b2rk1/2p2ppp/p7/1p6/3P3q/1BP3bP/PP3QP1/RNB1R1K1 w - - 1 0,1. Qxf7+ Rxf7 2. Re8# 
White to move.,"Johann Berger vs P Froehlich, Graz, 1922",r2qkb1r/2p1nppp/p2p4/np1NN3/4P3/1BP5/PP1P1PPP/R1B1K2R w - - 1 0,1. Nf6+ gxf6 2. Bxf7#
White to move.,"Probst vs Lowig, Bad Oeynhausen, 1922",rnbkn2r/pppp1Qpp/5b2/3NN3/3Pp3/8/PPP1KP1P/R1B4q w - - 1 0,1. Qe7+ Bxe7 2. Nf7# 
White to move.,"Lajos Steiner vs Albert Becker, Vienna, 1923",4rk2/2pQn2p/p4p2/1p2pN1P/4q3/2P3R1/5PPK/8 w - - 1 0,1. Rg8+ Kf7 2. Nh6# 
White to move.,"Max Euwe vs A Van Mindeno, Netherlands, 1927",r1b2rk1/pp3ppp/3p4/3Q1nq1/2B1R3/8/PP3PPP/R5K1 w - - 1 0,1. Qxf7+ Rxf7 2. Re8# 
Black to move.,"Monterinas vs Max Euwe, Amsterdam, 1927",7r/p3ppk1/3p4/2p1P1Kp/2Pb4/3P1QPq/PP5P/R6R b - - 0 1,1... Be3+ 2. Qxe3 Qg4# 
Black to move.,"Ilya Rabinovich vs Grigori Levenfish, Moscow, 1927",rn2kb1r/ppp1pppp/8/8/4q3/3P1N1b/PPP1BPnP/RNBQ1K1R b kq - 0 1,1... Nh4+ 2. Ke1 Nxf3#
White to move.,"Springe vs Dietmar Gebhard, Munich, 1927",r1b1kb1r/pp1n1pp1/1qp1p2p/6B1/2PPQ3/3B1N2/P4PPP/R4RK1 w - - 1 0,1. Qxe6+ fxe6 2. Bg6# 
White to move.,"Milan Vidmar, Sr vs Max Euwe, Carlsbad, 1929",6k1/5p2/1p5p/p4Np1/5q2/Q6P/PPr5/3R3K w - - 1 0,1. Qf8+ Kxf8 2. Rd8# 
White to move.,"William Winter vs Jacob Gemzoe, Folkestone, 1933",r3q3/ppp3k1/3p3R/5b2/2PR3Q/2P1PrP1/P7/4K3 w - - 1 0,1. Qf6+ Kg8 2. Rh8# 
Black to move.,"Nicolas Ticoulat vs Andor Lilienthal, Sitges, 1934",r3k2r/1Bp2ppp/8/4q1b1/pP1n4/P1KP3P/1BP5/R2Q3R b - - 0 1,1... Nb5+ 2. Kc4 Nd6# 
White to move.,"Arthur Dake vs Timothy Cranston, Warsaw, 1935",r1bq2rk/pp3pbp/2p1p1pQ/7P/3P4/2PB1N2/PP3PPR/2KR4 w - - 1 0,1. Qxh7+ Kxh7 2. hxg6# 
White to move.,"Marcos Luckis vs Moshe Czerniak, Warsaw, 1935",k1n3rr/Pp3p2/3q4/3N4/3Pp2p/1Q2P1p1/3B1PP1/R4RK1 w - - 1 0,1. Qxb7+ Kxb7 2. a8=Q# 
Black to move.,"Cherubino Staldi vs Uulberg, Munich, 1936",8/1p3k2/4p1rp/p3Pp1Q/3qnP2/1P6/P6P/2R2R1K b - - 0 1,1... Qg1+ 2. Rxg1 Nf2# 
White to move.,"Boris Kostic vs Paul Keres, Stockholm, 1937",r1bq3r/ppp1b1kp/2n3p1/3B3Q/3p4/8/PPP2PPP/RNB2RK1 w - - 1 0,1. Bh6+ Kf6 2. Qg5# 
White to move.,"Alexander Alekhine vs Fahardo, Montevideo, 1939",4r3/pbpn2n1/1p1prp1k/8/2PP2PB/P5N1/2B2R1P/R5K1 w - - 1 0,1. Rxf6+ Nxf6 2. g5#
White to move.,"Vladimir Petrov vs H Cordova, Buenos Aires, 1939",1q5r/1b1r1p1k/2p1pPpb/p1Pp4/3B1P1Q/1P4P1/P4KB1/2RR4 w - - 1 0,1. Qxh6+ Kxh6 2. Rh1# 
White to move.,"Isaias Pleci vs Lucius Endzelins, Buenos Aires, 1939",r4R2/1b2n1pp/p2Np1k1/1pn5/4pP1P/8/PPP1B1P1/2K4R w - - 1 0,1. h5+ Kh6 2. Nf7# 
White to move.,"Heinz Helms vs Oscar Tenner, New York, 1942",r1bqk2r/bppp1ppp/8/PB2N3/3n4/B7/2PPQnPP/RN2K2R w KQkq - 1 0,1. Nxd7+ Nxe2 2. Nf6# 
Black to move.,"Boris Ratner vs Alexander Konstantinopolsky, Moscow, 1945",1r4k1/3b2pp/1b1pP2r/pp1P4/4q3/8/PP4RP/2Q2R1K b - - 0 1,1... Rxh2+ 2. Kxh2 Qh4# 
Black to move.,"Enrico Paoli vs Jan Foltys, Trencianske Teplice, 1949",8/2k2p2/2b3p1/P1p1Np2/1p3b2/1P1K4/5r2/R3R3 b - - 0 1,1... Bb5+ 2. Nc4 Rd2# 
White to move.,"Arthur Bisguier vs J. Penrose, Southsea, 1950",r4r1k/2qb3p/p2p1p2/1pnPN3/2p1Pn2/2P1N3/PPB1QPR1/6RK w - - 1 0,1. Rg8+ Rxg8 2. Nf7#
White to move.,"Pal Benko vs Erno Gereben, Budapest, 1954",1r2q3/1R6/3p1kp1/1ppBp1b1/p3Pp2/2PP4/PP3P2/5K1Q w - - 1 0,1. Qh8+ Qxh8 2. Rf7#
White to move.,"Bennsdorf vs G Krepp, corr., 1954",r3kb1r/pb6/2p2p1p/1p2pq2/2pQ3p/2N2B2/PP3PPP/3RR1K1 w - - 1 0,1. Bh5+ Qxh5 2. Qd7#
White to move.,"Miguel Najdorf vs Rodolfo Kalkstein, Montevideo, 1954",4r3/2q1rpk1/p3bN1p/2p3p1/4QP2/2N4P/PP4P1/5RK1 w - - 1 0,1. Qh7+ Kxf6 2. Ne4# 
White to move.,"Ratmir Kholmov vs Y Kliavinsh, Vilnius, 1955",r5rk/pp1np1bn/2pp2q1/3P1bN1/2P1N2Q/1P6/PB2PPBP/3R1RK1 w - - 1 0,1. Qxh7+ Qxh7 2. Nf7# 
White to move.,"Octav Troianescu vs Cedendemberel Lhagvasuren, Ulan Bator, 1956",rn1qkb1r/4p2p/2p2nN1/p4p1Q/PpBP4/8/1P3PPP/R1B1K2R w - - 1 0,1. Ne5+ Nxh5 2. Bf7# 
White to move.,"Posch vs Derr, Vienna, 1958",r1b2rk1/ppppbpp1/7p/4R3/6Qq/2BB4/PPP2PPP/R5K1 w - - 1 0,1. Qxg7+ Kxg7 2. Rg5#
White to move.,"Mikhail Tal vs Pal Benko, Bled, 1959",1r3k2/2n1p1b1/3p2QR/p1pq1pN1/bp6/7P/2P2PP1/4RBK1 w - - 1 0,1. Rh8+ Bxh8 2. Nh7# 
White to move.,"Mark Taimanov vs Erich Eliskases, Buenos Aires, 1960",5b2/1p3rpk/p1b3Rp/4B1RQ/3P1p1P/7q/5P2/6K1 w - - 1 0,1. Rxh6+ gxh6 2. Qg6# 
White to move.,"Boris Spassky vs Boris Vladimirov, Baku, 1961",r2Rnk1r/1p2q1b1/7p/6pQ/4Ppb1/1BP5/PP3BPP/2K4R w - - 1 0,1. Qxe8+ Qxe8 2. Bc5# 
White to move.,"J Golemo vs S Sulek, corr., 1962",r2qr2k/pp1b3p/2nQ4/2pB1p1P/3n1PpR/2NP2P1/PPP5/2K1R1N1 w - - 1 0,1. Rxe8+ Bxe8 2. Qf8#
White to move.,"Dragoljub Velimirovic vs Dragoljub Ciric, Belgrade, 1963",4r3/p2r1p1k/3q1Bpp/4P3/1PppR3/P5P1/5P1P/2Q3K1 w - - 1 0,1. Qxh6+ Kxh6 2. Rh4# 
White to move.,"Albin Planinec vs Milan Matulovic, Novi Sad, 1965 ",r3n1rk/q3NQ1p/p2pbP2/1p4p1/1P1pP1P1/3R4/P1P4P/3B2K1 w - - 1 0,1. Qxh7+ Kxh7 2. Rh3# 
Black to move.,"Vlastimil Hort vs Bent Larsen, Sousse, 1967 ",8/2r2pk1/3p2p1/3Pb3/2P1P2K/6r1/1R2B3/1R6 b - - 0 1,1... Kh6 2. c5 g5# 
White to move.,"Wlodzimierz Schmidt vs Heinz Liebert, Polanica Zdroj, 1967",8/8/p3p3/3b1pR1/1B3P1k/8/4r1PK/8 w - - 1 0,1. Be1+ Rxe1 2. g3# 
White to move.,"Tigran Petrosian vs Dragoslav Tomic, Vinkovci, 1970",Q7/2r2rpk/2p4p/7N/3PpN2/1p2P3/1K4R1/5q2 w - - 1 0,1. Rxg7+ Rxg7 2. Nf6# 
White to move.,"Samuel Reshevsky vs Yasuji Matsumoto, Siegen, 1970",r3rknQ/1p1R1pb1/p3pqBB/2p5/8/6P1/PPP2P1P/4R1K1 w - - 1 0,1. Qxg7+ Qxg7 2. Rxf7# 
White to move.,"Anatoly Karpov vs Henrique Mecking, Hastings, 1971",4rr2/1p5R/3p1p2/p2Bp3/P2bPkP1/1P5R/1P2K3/8 w - - 1 0,1. Rg7 Bxb2 2. Rf3# 
White to move.,"Walter Browne vs Coskun Kulur, Skopje, 1972",r4kr1/pbNn1q1p/1p6/2p2BPQ/5B2/8/P6P/b4RK1 w - - 1 0,1. Bd6+ Qe7 2. Ne6#
White to move.,"Rafael Vaganian vs Viktor Korchnoi, Moscow, 1975",6rk/6pp/5p2/p7/P2Q1N2/4P1P1/2r2n1P/6K1 w - - 1 0,1. Ng6+ hxg6 2. Qh4# 
White to move.,"Larry Christiansen Vs Paul Van Der Sterren, Amsterdam, 1978",1n6/p3q2p/2pNk3/1pP1p3/1P2P2Q/2P3P1/6K1/8 w - - 1 0,1. Qh3+ Kf6 2. Qh6# 
Black to move.,"Dragoljub Janosevic vs Tigran Petrosian, Lone Pine, 1978",6rk/p3p2p/1p2Pp2/2p2P2/2P1nBr1/1P6/P6P/3R1R1K b - - 0 1,1... Rg1+ 2. Rxg1 Nf2# 
Black to move.,"Malina Boskovic vs Michael Rohde, New York, 1979 ",3rk3/1p3p2/2p5/7P/1P1qpp1R/P5P1/2Q5/3BK3 b - - 0 1,1... Qg1+ 2. Ke2 f3# 
White to move.,"Bent Larsen vs Zoltan Ribli, Riga, 1979",2QR4/6b1/1p4pk/7p/5n1P/4rq2/5P2/5BK1 w - - 1 0,1. Rh8+ Bxh8 2. Qxh8# 
White to move.,"Raymond Keene vs C Van Baarle, Berlin, 1980",r3q1k1/5p2/3P2pQ/Ppp5/1pnbN2R/8/1P4PP/5R1K w - - 1 0,1. Rf6 Bxf6 2. Nxf6#
White to move.,"Dragoslav Andric vs Luigi Santolini, Caorle, 1981",5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4 w - - 1 0,1. Re7+ Bxe7 2. Ng7#
White to move.,"Jeremy Silman vs Ozdal Barkan, Palo Alto, 1981",r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1 w - - 1 0,1. Qh6+ Kxf7 2. Bxe6# 
White to move.,"Vlastimil Hort vs Alex Dunne, Lucerne, 1982",1r2q2k/4N2p/3p1Pp1/2p1n1P1/2P5/p2P2KQ/P3R3/8 w - - 1 0,1. Qxh7+ Kxh7 2. Rh2# 
White to move.,"Boris Spassky vs Arnulf Westermeier, Germany, 1982",5R2/4r1r1/1p4k1/p1pB2Bp/P1P4K/2P1p3/1P6/8 w - - 1 0,1. Rf6+ Kh7 2. Rh6# 
White to move.,"Werner Hobusch vs Liebscher, corr., 1984",2bq1rk1/r1p1b1pn/p2pP1Np/1p1B1Q2/4P3/2P4P/PP3PP1/R1B1R1K1 w - - 1 0,1. Qf7+ Rxf7 2. exf7# 
White to move.,"Ian Rogers vs Zlatko Klaric, Nouro, 1984",1nbk1b1r/1r6/p2P2pp/1B2PpN1/2p2P2/2P1B3/7P/R3K2R w - - 1 0,1. Bb6+ Rxb6 2. Nf7# 
White to move.,"Arthur Bisguier vs Sergey Kudrin, Philadelphia, 1985",3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1 w - - 1 0,1. Rxg6+ fxg6 2. Bxe6#
White to move.,"Sergey Smagin vs Viktor Kupreichik, Minsk, 1985",6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8 w - - 1 0,1. Qh8+ Kxh8 2. Re8#
Black to move.,"Abraham Szlern vs David Colhoun, Toowoomba, 1986",2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K b - - 0 1,1... Rxh3+ 2. gxh3 Qf3# 
White to move.,"Nick De Firmian vs Edward Formanek, Philadelphia, 1987",r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1 w - - 1 0,1. Rxh7+ Kxh7 2. Qh4# 
White to move.,"Viktor Korchnoi vs Lev Gutman, Wijk aan Zee, 1987",8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K w - - 1 0,1. Nf5+ gxf5 2. Qh5# 
White to move.,"Alexey Kuzmin vs Evgeny Vladimirov, Tashkent, 1987",3rrk2/2p2pR1/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK w - - 1 0,1. Rxf7+ Kxf7 2. Qg7# 
White to move.,"Michael Adams vs Luis Comas Fabrego, Adelaide, 1988",r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3 w - - 1 0,1.Rf7+ Kxf7 2.Qe7#
White to move.,"Vassily Ivanchuk vs Bozidar Ivanovic, New York, 1988",3n4/1R6/p5k1/2B5/1P3PK1/r7/8/8 w - - 1 0,1. f5+ Kf6 2. Bd4# 
White to move.,"Nona Gaprindashvili vs Eliska Richtrova, Wuppertal, 1990",1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R w - - 1 0,1. Rh8+ Bxh8 2. Rxh8# 
Black to move.,"Ram Ofek vs Gregory Kaidanov, London, 1990",b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1 b - - 0 1,1... Qxf2+ 2. Rxf2 Re1# 
White to move.,"Leonid Shamkovich vs Anatoly Trubman, USA, 1990",5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1 w - - 1 0,1. Qxf8+ Nxf8 2. Nxf7# 
White to move.,"Arthur Bisguier vs Fabian Geisler, New York, 1991",5k2/p3Rr2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1 w - - 1 0,1. Re8+ Kxe8 2. Qd8# 
White to move.,"Larry Christiansen vs John Nunn, Vienna, 1991",4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K w - - 1 0,1. Rxf6+ Bxf6 2. Ng6# 
Black to move.,"Hermann Heslenfeld vs Robert Wade, Bad Woerishofen, 1991",r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R b - - 0 1,1... Qh3+ 2. Bxh3 Nf3# 
White to move.,"Gregory Kaidanov vs Eric-Thierry Petit, Torcy, 1991",2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K w - - 1 0,1. Nf3 Qxe6 2. Bg5#
White to move.,"Grigory Serper vs Alexei Shirov, Moscow, 1991",q2br1k1/1b4pp/3Bp3/p6n/1p3R2/3B1N2/PP2QPPP/6K1 w - - 1 0,1. Qxe6+ Rxe6 2. Rf8#
White to move.,"Almira Skripchenko vs Ralph Zimmer, Bad Mondorf, 1991",5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8 w - - 1 0,1. Rg8+ Rxg8 2. Nxf7# 
White to move.,"Michael Adams vs Eric Lobron, Brussels, 1992",8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2 w - - 1 0 ,1.Qe8+ Kg7 2.Nf5#
White to move.,"Hoang Thanh Tran vs Alina Calota, Duisburg, 1992",2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K w - - 1 0,1. Rxf5+ gxf5 2. Qg8# 
Black to move.,"Cristina Iosif vs Almira Skripchenko, Rumania, 1992",4r1k1/pQ3pp1/7p/4q3/4r3/P7/1P2nPPP/2BR1R1K b - - 0 1,1... Qxh2+ 2. Kxh2 Rh4# 
White to move.,"Dmitri Reinderman vs Harmen Jonkman, Nijmegen, 1992",3R1rk1/1pp2pp1/1p6/8/8/P7/1q4BP/3Q2K1 w - - 1 0,1. Rxf8+ Kh7 2. Qh5# 
White to move.,"Josh Waitzkin vs Luis Hoyos-Millan, New York, 1992",6k1/5p2/p3bRpQ/4q3/2r3P1/6NP/P1p2R1K/1r6 w - - 1 0,1. Rxg6+ fxg6 2. Rf8# 
Black to move.,"Esa Auvinen vs Harri Hytonen, Helsinki, 1993",rnb1k2r/pp3ppp/1qp2B2/2bPp3/4P3/2N5/PPP3PP/R2QKBNR b KQkq - 0 1,1... Bf2+ 2. Kd2 Qe3#
Black to move.,"R Baudry vs Olivier Tardif, Massy, 1993",r2r4/pp2ppkp/2P3p1/q1p5/4PQ2/2P2b2/P4PPP/2R1KB1R b - - 0 1,1... Qxc3+ 2. Rxc3 Rd1# 
White to move.,"Saidali Iuldachev vs I Dgumaev, Tashkent, 1993",8/8/2N1P3/1P6/4Q3/4b2K/4k3/4q3 w - - 1 0,1. Nd4+ Kd1 2. Qc2#
Black to move.,"Andreas Bartsch vs Waldemar Grom, Velden, 1994",1b2r1k1/3n2p1/p3p2p/1p3r2/3PNp1q/3BnP1P/PP1BQP1K/R6R b - - 0 1,1... Qxh3+ 2. Kxh3 Rh5# 
White to move.,"Luke McShane vs Aiden Leech, London, 1994",5b2/q4r1p/p3k1p1/2pNppP1/1P6/3Q1P1P/P7/1K1R4 w - - 1 0,1. Nf4+ exf4 2. Qe2# 
Black to move.,"Werni Rodel vs James Sherwin, Switzerland, 1994",8/2p5/Q4pk1/p1Pp4/5n2/PP3PK1/2q4N/8 b - - 0 1,1... Qg2+ 2. Kxf4 Qg5# 
White to move.,"Yury Shulman vs Ilia Botvinnik, Minsk, 1994",r3nr1k/1b2Nppp/pn6/q3p1P1/P1p4Q/R7/1P2PP1P/2B2RK1 w - - 1 0,1. Qxh7+ Kxh7 2. Rh3#
Black to move.,"Eugene Levin vs Walter Shipman, Concord, 1995",r1b3nr/ppp1kB1p/3p4/8/3PPBnb/1Q3p2/PPP2q2/RN4RK b - - 0 1,1... Qh2+ 2. Bxh2 Nf2#
Black to move.,"J Liger vs Alexander Scetinin, Cappelle la Grande, 1995",q5k1/5rb1/r6p/1Np1n1p1/3p1Pn1/1N4P1/PP5P/R1BQRK2 b - - 0 1,1... Qh1+ 2. Ke2 Qg2#
Black to move.,"Petr Virostko vs Levon Aronian, Verdun, 1995",8/2P2pk1/3Q4/4pq2/7p/6pP/2r3P1/6RK b - - 0 1,1... Qxh3+ 2. gxh3 Rh2#
White to move.,"Claudia Amura vs Carlos Bulcourf, Villa Ballester, 1996",8/p1R3p1/4p1kn/3p3N/3Pr2P/6P1/PP3K2/8 w - - 1 0,1. Rxg7+ Kxh5 2. Rg5#
White to move.,"Ronald Bancod vs Richard Forster, Weilburg, 1996",r1b1k2r/1p2bppp/p3q3/1p2p1B1/8/3Q1N2/PPP2PPP/3R1RK1 w kq - 1 0,1. Qd8+ Bxd8 2. Rxd8# 
White to move.,"Ferenc Berkes vs Diana Nemeth, Hungary, 1996",rn2k2r/pp2b2p/2p1Q1p1/5B2/1q3B2/8/PPP3PP/3RR2K w kq - 1 0,1. Rd8+ Kxd8 2. Qc8#
White to move.,"Georgios Efthimiou vs V Siametis, Mitilini, 1996",r1b1k2r/pp3ppp/2n1p3/6B1/2p1q3/Q7/PP2PPPP/3RKB1R w Kkq - 1 0,1. Rd8+ Nxd8 2. Qe7#
Black to move.,"Jindrich Kuba vs David Kanovsky, Svetla nad Sazavou, 1996",2k4r/1pp1n1pp/p1pr1pb1/4p3/Nq2P1P1/1P1PKN1P/2P1QP2/3R3R b - - 0 1,1... Nd5+ 2. exd5 Qf4#
White to move.,"Judit Polg�r vs E. Bareev, Kremlin PCA Rapid, 1996",5k1r/4npp1/p3p2p/3nP2P/3P3Q/3N4/qB2KPP1/2R5 w - - 1 0,1. Rc8+ Nxc8 2. Qd8# 
White to move.,"Anatoly Karpov vs Bidjukova, Voronezh, 1997",2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8 w - - 1 0,1. g5+ hxg5 2. Ng4# 
White to move.,"Anatoly Karpov vs Piotr Mickiewicz, Koszalin, 1997",5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4 w - - 1 0,1. Rh4+ gxh4 2. g4# 
